Type,Project,ModelBalance,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
within,flakeflaggertotal,MLP,9080.0,35.0,608.0,62.0,0.6543223443223443,0.09253731343283582,0.9342868959812505,0.00991318715520825,0.15982281513141422,0.22509360301418221,0.7590490634599261
within,flakeflaggertotal,MLPADASYN,6536.0,2579.0,170.0,500.0,0.16334196453619607,0.7462686567164178,0.7190489022018628,0.31467953819577177,0.2674495136598495,0.2528873415001828,0.8171210215029193
within,springboot,naiveBayesBorderlineSMOTE,289.0,1263.0,3.0,79.0,0.058959303362409066,0.9625,0.22519078258267244,0.8213077959000449,0.11109400164142544,0.08369544857451333,0.6994643472566862
within,springboot,naiveBayesSMOTE,288.0,1264.0,4.0,78.0,0.05824198735526104,0.951388888888889,0.22396752955259616,0.8213115367349992,0.10974641399786869,0.07635381805734494,0.71054685346016
within,springboot,naiveBayesrandomover,282.0,1270.0,4.0,78.0,0.05794867006914099,0.951388888888889,0.22029402962741282,0.8249850366601826,0.10922604325228258,0.07524235020572033,0.7107065929142542
within,springboot,naiveBayes,1552.0,0.0,82.0,0.0,0.0,0.0,0.9498204399221907,0.0,0.0,0.0,0.7094441859663633
within,springboot,naiveBayesADASYN,348.0,1204.0,3.0,79.0,0.06292183051442089,0.9625,0.2614170282807122,0.7850815502020051,0.11792779605375422,0.09903509076735277,0.6737564619520265
within,springboot,decisionTreeBorderlineSMOTE,1530.0,22.0,21.0,61.0,0.7541636141636142,0.7416666666666666,0.9736570402513841,0.0507930570103247,0.7355930833872011,0.7286449230838926,0.8852348704163221
within,springboot,decisionTreeSMOTE,1523.0,29.0,24.0,58.0,0.6871103896103895,0.7069444444444445,0.9675632201107286,0.053235822235522964,0.6873752348442752,0.6756891204890627,0.8780888992280123
within,springboot,decisionTreerandomover,1525.0,27.0,20.0,62.0,0.730982905982906,0.7569444444444444,0.971225497531049,0.054466556935508004,0.7276233570351218,0.7215629521108621,0.8708818410532121
within,springboot,decisionTree,1531.0,21.0,23.0,59.0,0.7772222222222223,0.7194444444444444,0.9730510249887775,0.04896752955259614,0.7320959269488682,0.7270029936209484,0.892249017783292
within,springboot,decisionTreeADASYN,1530.0,22.0,22.0,60.0,0.7428937728937729,0.7305555555555555,0.9730472841538231,0.050183300912763726,0.7243653061764517,0.7171436549529002,0.8865171801764543
within,springboot,randomForestBorderlineSMOTE,1546.0,6.0,25.0,57.0,0.9188888888888889,0.6958333333333333,0.9810227442765225,0.038541822534789764,0.7819769446240034,0.7857815138130251,0.9565052901847257
within,springboot,randomForestSMOTE,1542.0,10.0,21.0,61.0,0.8704761904761904,0.7444444444444445,0.9810152626066138,0.04344979799491246,0.7937346477052358,0.7912977315129652,0.9598600771987869
within,springboot,randomForestnearmissunder1,517.0,1035.0,9.0,73.0,0.0664666127158522,0.888888888888889,0.3610541672901391,0.6781048930121203,0.12360478132243513,0.1032014354961647,0.8482314068100358
within,springboot,randomForestrandomunder,1419.0,133.0,12.0,70.0,0.362846248378285,0.851388888888889,0.9112187640281311,0.12425931467903636,0.5051290210765502,0.5192027948514886,0.9501693031430936
within,springboot,randomForestrandomover,1531.0,21.0,20.0,62.0,0.7756715506715507,0.7569444444444444,0.9748877749513692,0.050796797845279074,0.7534263448969332,0.7473482847960885,0.9383623690377721
within,springboot,randomForest,1541.0,11.0,23.0,59.0,0.8619841269841271,0.7194444444444444,0.9791785126440221,0.04284004189735149,0.7749876104287868,0.7726736311598391,0.9537026123518061
within,springboot,randomForestnearmissunder2,471.0,1081.0,4.0,78.0,0.06749224062035476,0.951388888888889,0.3360055364357325,0.709273529851863,0.12601608547321252,0.12214587773750371,0.8332811207609596
within,springboot,randomForestADASYN,1544.0,8.0,22.0,60.0,0.8960317460317461,0.7319444444444445,0.9816325003740834,0.04160556636241209,0.7976820728291316,0.7968614598561988,0.9600958092087124
within,springboot,randomForestnearmissunder3,1405.0,147.0,15.0,67.0,0.3345743176497652,0.8166666666666667,0.9008716145443663,0.13093296423761785,0.4687491574930826,0.48105432602629883,0.9344486662531016
within,springboot,SVMBorderlineSMOTE,1014.0,538.0,29.0,53.0,0.08878390314411942,0.6472222222222223,0.6530450396528507,0.3616489600478827,0.1559926205635588,0.13577465044627532,0.6960372725392887
within,springboot,SVMSMOTE,1040.0,512.0,20.0,62.0,0.10943658084340091,0.7569444444444444,0.6744762831063894,0.3512232530300763,0.19095986452774297,0.1964697730395331,0.7492940963606286
within,springboot,SVMrandomover,1045.0,507.0,21.0,61.0,0.10852067626710556,0.7444444444444445,0.6769302708364507,0.34754975310489306,0.1891227614009122,0.192616869362414,0.7479868865453543
within,springboot,SVM,1552.0,0.0,82.0,0.0,0.0,0.0,0.9498204399221907,0.0,0.0,0.0,0.7376915322580645
within,springboot,SVMADASYN,1010.0,542.0,32.0,50.0,0.0828227737692659,0.6041666666666666,0.6487206344456082,0.3622849019901242,0.14550355316736527,0.11591738940801069,0.6857331299972429
within,springboot,adaboostBorderlineSMOTE,1470.0,82.0,16.0,66.0,0.45375000000000004,0.8027777777777778,0.9400194523417627,0.09055065090528205,0.5760759771629337,0.5748082426135955,0.9220273297491041
within,springboot,adaboostSMOTE,1466.0,86.0,17.0,65.0,0.4458972059931813,0.7902777777777777,0.936963190184049,0.09237991919796498,0.5650897320026408,0.5629303849665208,0.9182635442514474
within,springboot,adaboostrandomover,1448.0,104.0,15.0,67.0,0.39730998013705926,0.8138888888888889,0.9271809067783929,0.10460870866377377,0.5305367744383762,0.5362930646776511,0.9248727426247587
within,springboot,adaboost,1542.0,10.0,45.0,37.0,0.813095238095238,0.4541666666666666,0.9663437079156066,0.02876327996408799,0.5585564435564436,0.579696832920604,0.9230948442238764
within,springboot,adaboostADASYN,1462.0,90.0,21.0,61.0,0.4073498723498723,0.7402777777777778,0.9320888822385157,0.0923612150231932,0.5214058757466,0.5162540070676183,0.9157412289771163
within,springboot,MLPBorderlineSMOTE,1310.0,242.0,21.0,61.0,0.22795627918447905,0.7458333333333333,0.8390580577584916,0.1854144845129433,0.34498763267398525,0.3518082714535976,0.840391594292804
within,springboot,MLPSMOTE,1385.0,167.0,17.0,65.0,0.2844520051671754,0.7930555555555555,0.8873746820290288,0.14198339069280264,0.41710856067117924,0.4313209743386862,0.9018909394816653
within,springboot,MLPrandomover,1368.0,184.0,20.0,62.0,0.25742422998457476,0.7569444444444444,0.8752319317671704,0.1504601226993865,0.3809756089167854,0.3927117083206637,0.8660572615108906
within,springboot,MLP,1549.0,3.0,82.0,0.0,0.0,0.0,0.9479911716295077,0.0018292682926829272,0.0,-0.005434861076086092,0.7317908223049352
within,springboot,MLPADASYN,1314.0,238.0,23.0,59.0,0.22269196172073066,0.7194444444444444,0.8402925332934311,0.1817335029178513,0.3346549969699187,0.33861634248389627,0.821091552936311
within,httpcore,naiveBayesBorderlineSMOTE,472.0,37.0,1.0,14.0,0.28888888888888886,0.95,0.9275761973875181,0.09720609579100145,0.43398268398268397,0.49514157364977435,0.9724901960784313
within,httpcore,naiveBayesSMOTE,470.0,39.0,1.0,14.0,0.27650793650793654,0.95,0.9237300435413645,0.10105224963715528,0.4199350649350649,0.48342263720996853,0.9724901960784316
within,httpcore,naiveBayesrandomover,477.0,32.0,1.0,14.0,0.30833333333333335,0.95,0.937010159651669,0.08777213352685051,0.45619047619047615,0.5145468896049521,0.9724901960784316
within,httpcore,naiveBayes,509.0,0.0,15.0,0.0,0.0,0.0,0.97144412191582,0.0,0.0,0.0,0.9724901960784313
within,httpcore,naiveBayesADASYN,467.0,42.0,1.0,14.0,0.2644444444444444,0.95,0.9179245283018866,0.10685776487663282,0.4038095238095238,0.46946311359466747,0.9724901960784313
within,httpcore,decisionTreeBorderlineSMOTE,501.0,8.0,9.0,6.0,0.325,0.4,0.9676705370101596,0.02663280116110305,0.3333333333333333,0.3359858306872753,0.7637156862745098
within,httpcore,decisionTreeSMOTE,502.0,7.0,8.0,7.0,0.4583333333333333,0.5,0.9714804063860667,0.02666908563134978,0.4333333333333333,0.4465125080937257,0.8656764705882353
within,httpcore,decisionTreerandomover,499.0,10.0,6.0,9.0,0.38999999999999996,0.65,0.9695573294629899,0.03621190130624093,0.4704761904761904,0.48407588651594047,0.8146960784313725
within,httpcore,decisionTree,503.0,6.0,8.0,7.0,0.3833333333333333,0.45,0.9733671988388968,0.024782293178519592,0.3866666666666666,0.3934846142755809,0.8641960784313726
within,httpcore,decisionTreeADASYN,503.0,6.0,8.0,7.0,0.4666666666666666,0.5,0.9733671988388968,0.024782293178519592,0.43999999999999995,0.4526835849918343,0.8387156862745098
within,httpcore,randomForestBorderlineSMOTE,502.0,7.0,8.0,7.0,0.35,0.5,0.9715166908563134,0.026705370101596522,0.4033333333333333,0.4041473345160765,0.9514705882352942
within,httpcore,randomForestSMOTE,503.0,6.0,7.0,8.0,0.5,0.6,0.9753628447024673,0.026705370101596522,0.5366666666666666,0.534133330314676,0.9509803921568627
within,httpcore,randomForestnearmissunder1,358.0,151.0,7.0,8.0,0.07285464535464535,0.55,0.6985849056603773,0.30341074020319303,0.12369460604754723,0.11050541865771893,0.6784117647058824
within,httpcore,randomForestrandomunder,468.0,41.0,1.0,14.0,0.28234126984126984,0.95,0.9197750362844703,0.10500725689404936,0.4188239538239539,0.4818241210036107,0.9676470588235293
within,httpcore,randomForestrandomover,499.0,10.0,5.0,10.0,0.4166666666666667,0.7,0.9715166908563134,0.03809869375907112,0.51,0.5243947659056706,0.9117450980392157
within,httpcore,randomForest,503.0,6.0,10.0,5.0,0.25,0.35,0.9696298984034832,0.020972423802612484,0.2866666666666666,0.28334793944649606,0.9578235294117647
within,httpcore,randomForestnearmissunder2,347.0,162.0,6.0,9.0,0.11184782608695651,0.6,0.6797169811320755,0.3260522496371553,0.18526708074534162,0.16180118012509673,0.645
within,httpcore,randomForestADASYN,504.0,5.0,7.0,8.0,0.4833333333333333,0.55,0.9772133526850508,0.024782293178519595,0.48999999999999994,0.49609193915002325,0.9553921568627451
within,httpcore,randomForestnearmissunder3,453.0,56.0,7.0,8.0,0.14357142857142857,0.55,0.8800072568940494,0.12191582002902757,0.2157142857142857,0.23245868029728753,0.8195294117647058
within,httpcore,SVMBorderlineSMOTE,495.0,14.0,1.0,14.0,0.54,0.95,0.9714078374455732,0.0533744557329463,0.6671428571428573,0.6935801638741309,0.9656470588235294
within,httpcore,SVMSMOTE,489.0,20.0,1.0,14.0,0.4766666666666667,0.95,0.9599056603773585,0.0648766328011611,0.6004761904761906,0.6387940120871722,0.9627058823529412
within,httpcore,SVMrandomover,490.0,19.0,1.0,14.0,0.48,0.95,0.961865021770682,0.06291727140783746,0.6076190476190477,0.644500754607798,0.9617254901960784
within,httpcore,SVM,505.0,4.0,11.0,4.0,0.25,0.2,0.9714078374455731,0.015203193033381713,0.2,0.20543023072090563,0.959764705882353
within,httpcore,SVMADASYN,487.0,22.0,1.0,14.0,0.45999999999999996,0.95,0.9561320754716981,0.06865021770682148,0.5838095238095239,0.6249083665301878,0.9637058823529412
within,httpcore,adaboostBorderlineSMOTE,497.0,12.0,4.0,11.0,0.45666666666666667,0.8,0.9695936139332366,0.04386792452830189,0.5704761904761906,0.5860481061977801,0.9661372549019609
within,httpcore,adaboostSMOTE,496.0,13.0,4.0,11.0,0.4666666666666666,0.75,0.9676342525399129,0.04575471698113208,0.55,0.5646586251893932,0.9710392156862746
within,httpcore,adaboostrandomover,496.0,13.0,6.0,9.0,0.4,0.65,0.9638243831640059,0.04194484760522497,0.4666666666666666,0.47916884365886875,0.9553725490196079
within,httpcore,adaboost,499.0,10.0,11.0,4.0,0.20833333333333334,0.3,0.960087082728592,0.02666908563134978,0.24,0.22958102591295573,0.958764705882353
within,httpcore,adaboostADASYN,496.0,13.0,3.0,12.0,0.4833333333333333,0.8,0.9695210449927432,0.04764150943396227,0.58,0.5974646178485632,0.970078431372549
within,httpcore,MLPBorderlineSMOTE,497.0,12.0,2.0,13.0,0.59,0.9,0.9733309143686503,0.047677793904209,0.6704761904761904,0.696184781026865,0.9656470588235294
within,httpcore,MLPSMOTE,488.0,21.0,1.0,14.0,0.51,0.95,0.9579462989840348,0.06683599419448476,0.6004761904761906,0.6468777236561856,0.9607450980392157
within,httpcore,MLPrandomover,479.0,30.0,1.0,14.0,0.3302380952380952,0.95,0.9407837445573295,0.08399854862119013,0.4715873015873016,0.5298854758217436,0.9597058823529411
within,httpcore,MLP,501.0,8.0,10.0,5.0,0.24,0.3,0.9657111756168361,0.024746008708272857,0.24047619047619045,0.24273092663842263,0.9676078431372549
within,httpcore,MLPADASYN,484.0,25.0,1.0,14.0,0.47333333333333333,0.95,0.9503265602322205,0.074455732946299,0.5623809523809523,0.6154099451881903,0.9666078431372549
within,orbit,naiveBayesBorderlineSMOTE,4.0,18.0,0.0,4.0,0.16666666666666666,0.4,0.2833333333333333,0.85,0.2333333333333333,0.1,0.4
within,orbit,naiveBayesSMOTE,4.0,18.0,0.0,4.0,0.16666666666666666,0.4,0.2833333333333333,0.85,0.2333333333333333,0.1,0.4
within,orbit,naiveBayesrandomover,4.0,18.0,0.0,4.0,0.16666666666666666,0.4,0.2833333333333333,0.85,0.2333333333333333,0.1,0.4
within,orbit,naiveBayes,22.0,0.0,4.0,0.0,0.0,0.0,0.8666666666666666,0.0,0.0,0.0,0.4
within,orbit,naiveBayesADASYN,5.0,17.0,0.0,4.0,0.18333333333333332,0.4,0.31666666666666665,0.8166666666666667,0.25,0.15,0.4
within,orbit,decisionTreeBorderlineSMOTE,20.0,2.0,2.0,2.0,0.15,0.2,0.85,0.15,0.16666666666666666,0.15,0.25
within,orbit,decisionTreeSMOTE,21.0,1.0,2.0,2.0,0.2,0.2,0.8833333333333332,0.11666666666666665,0.2,0.2,0.275
within,orbit,decisionTreerandomover,17.0,5.0,3.0,1.0,0.05,0.1,0.6833333333333333,0.25,0.06666666666666667,0.0,0.2
within,orbit,decisionTree,20.0,2.0,3.0,1.0,0.1,0.1,0.8166666666666667,0.11666666666666665,0.1,0.05,0.2
within,orbit,decisionTreeADASYN,20.0,2.0,2.0,2.0,0.15,0.2,0.85,0.15,0.16666666666666666,0.15,0.25
within,orbit,randomForestBorderlineSMOTE,20.0,2.0,2.0,2.0,0.15,0.2,0.85,0.15,0.16666666666666666,0.15,0.3
within,orbit,randomForestSMOTE,20.0,2.0,2.0,2.0,0.15,0.2,0.85,0.15,0.16666666666666666,0.15,0.3
within,orbit,randomForestrandomover,17.0,5.0,2.0,2.0,0.1,0.2,0.7166666666666666,0.2833333333333333,0.13333333333333333,0.1,0.35
within,orbit,randomForest,21.0,1.0,3.0,1.0,0.1,0.1,0.85,0.08333333333333333,0.1,0.1,0.35
within,orbit,randomForestADASYN,20.0,2.0,2.0,2.0,0.15,0.2,0.85,0.15,0.16666666666666666,0.15,0.3
within,orbit,SVMBorderlineSMOTE,18.0,4.0,1.0,3.0,0.2,0.3,0.8,0.26666666666666666,0.2333333333333333,0.2,0.4
within,orbit,SVMSMOTE,17.0,5.0,1.0,3.0,0.15,0.3,0.7666666666666666,0.3,0.2,0.15,0.4
within,orbit,SVMrandomover,16.0,6.0,1.0,3.0,0.15,0.3,0.7166666666666666,0.35,0.2,0.15,0.4
within,orbit,SVM,21.0,1.0,4.0,0.0,0.0,0.0,0.8166666666666667,0.05,0.0,0.0,0.4
within,orbit,SVMADASYN,16.0,6.0,1.0,3.0,0.15,0.3,0.7166666666666666,0.35,0.2,0.15,0.4
within,orbit,adaboostBorderlineSMOTE,19.0,3.0,2.0,2.0,0.15,0.2,0.8,0.2,0.16666666666666666,0.15,0.275
within,orbit,adaboostSMOTE,19.0,3.0,2.0,2.0,0.15,0.2,0.8,0.2,0.16666666666666666,0.15,0.275
within,orbit,adaboostrandomover,19.0,3.0,1.0,3.0,0.2,0.3,0.85,0.21666666666666665,0.2333333333333333,0.2,0.325
within,orbit,adaboost,18.0,4.0,1.0,3.0,0.2,0.3,0.8,0.26666666666666666,0.2333333333333333,0.2,0.35
within,orbit,adaboostADASYN,19.0,3.0,2.0,2.0,0.1,0.2,0.8166666666666667,0.18333333333333332,0.13333333333333333,0.1,0.3
within,orbit,MLPBorderlineSMOTE,17.0,5.0,1.0,3.0,0.2,0.3,0.75,0.31666666666666665,0.2333333333333333,0.2,0.35
within,orbit,MLPSMOTE,17.0,5.0,1.0,3.0,0.15,0.3,0.7666666666666666,0.3,0.2,0.15,0.35
within,orbit,MLPrandomover,18.0,4.0,2.0,2.0,0.1,0.2,0.7666666666666666,0.2333333333333333,0.13333333333333333,0.1,0.3
within,orbit,MLP,21.0,1.0,3.0,1.0,0.1,0.1,0.85,0.08333333333333333,0.1,0.1,0.35
within,orbit,MLPADASYN,17.0,5.0,1.0,3.0,0.2,0.3,0.75,0.31666666666666665,0.2333333333333333,0.2,0.35
within,javawebsocket,naiveBayesBorderlineSMOTE,29.0,57.0,3.0,18.0,0.22079365079365082,0.9,0.4372727272727273,0.7045454545454546,0.35323232323232323,0.22618575637333133,0.99375
within,javawebsocket,naiveBayesSMOTE,23.0,63.0,0.0,21.0,0.2555555555555556,1.0,0.41090909090909084,0.7854545454545454,0.404941724941725,0.25364281861535587,0.99375
within,javawebsocket,naiveBayesrandomover,23.0,63.0,0.0,21.0,0.2555555555555556,1.0,0.41090909090909084,0.7854545454545454,0.404941724941725,0.25364281861535587,0.99375
within,javawebsocket,naiveBayes,86.0,0.0,21.0,0.0,0.0,0.0,0.8036363636363637,0.0,0.0,0.0,0.99375
within,javawebsocket,decisionTreeBorderlineSMOTE,85.0,1.0,1.0,20.0,0.9666666666666666,0.9666666666666666,0.9818181818181818,0.19636363636363635,0.96,0.9539600717839003,0.9777777777777779
within,javawebsocket,decisionTreeSMOTE,85.0,1.0,1.0,20.0,0.9666666666666666,0.9666666666666666,0.9818181818181818,0.19636363636363635,0.96,0.9539600717839003,0.9777777777777779
within,javawebsocket,decisionTreerandomover,85.0,1.0,1.0,20.0,0.9666666666666666,0.9666666666666666,0.9818181818181818,0.19636363636363635,0.96,0.9539600717839003,0.9777777777777779
within,javawebsocket,decisionTree,85.0,1.0,1.0,20.0,0.9666666666666666,0.9666666666666666,0.9818181818181818,0.19636363636363635,0.96,0.9539600717839003,0.9777777777777779
within,javawebsocket,randomForestBorderlineSMOTE,86.0,0.0,1.0,20.0,1.0,0.9666666666666666,0.990909090909091,0.18727272727272726,0.9800000000000001,0.97698003589195,0.99375
within,javawebsocket,randomForestSMOTE,86.0,0.0,1.0,20.0,1.0,0.9666666666666666,0.990909090909091,0.18727272727272726,0.9800000000000001,0.97698003589195,0.99375
within,javawebsocket,randomForestnearmissunder1,39.0,47.0,1.0,20.0,0.3626984126984127,0.9666666666666666,0.5536363636363636,0.6245454545454546,0.48287157287157284,0.3832450689647158,0.9673611111111111
within,javawebsocket,randomForestrandomunder,86.0,0.0,1.0,20.0,1.0,0.9666666666666666,0.990909090909091,0.18727272727272726,0.9800000000000001,0.97698003589195,0.99375
within,javawebsocket,randomForestrandomover,86.0,0.0,1.0,20.0,1.0,0.9666666666666666,0.990909090909091,0.18727272727272726,0.9800000000000001,0.97698003589195,0.99375
within,javawebsocket,randomForest,86.0,0.0,1.0,20.0,1.0,0.9666666666666666,0.990909090909091,0.18727272727272726,0.9800000000000001,0.97698003589195,0.99375
within,javawebsocket,randomForestnearmissunder2,39.0,47.0,1.0,20.0,0.3626984126984127,0.9666666666666666,0.5536363636363636,0.6245454545454546,0.48287157287157284,0.3832450689647158,0.9673611111111111
within,javawebsocket,randomForestnearmissunder3,19.0,67.0,1.0,20.0,0.23380952380952377,0.9666666666666666,0.3654545454545454,0.8127272727272727,0.37353535353535355,0.19629025140503936,0.9673611111111111
within,javawebsocket,SVMBorderlineSMOTE,69.0,17.0,1.0,20.0,0.58,0.9666666666666666,0.8309090909090908,0.3472727272727273,0.700952380952381,0.6572762601161564,0.99375
within,javawebsocket,SVMSMOTE,85.0,1.0,1.0,20.0,0.9666666666666666,0.9666666666666666,0.9818181818181818,0.19636363636363635,0.96,0.9539600717839003,0.99375
within,javawebsocket,SVMrandomover,84.0,2.0,1.0,20.0,0.9333333333333332,0.9666666666666666,0.9727272727272727,0.20545454545454547,0.9400000000000001,0.9309401076758503,0.99375
within,javawebsocket,SVM,85.0,1.0,1.0,20.0,0.9666666666666666,0.9666666666666666,0.9818181818181818,0.19636363636363635,0.96,0.9539600717839003,0.99375
within,javawebsocket,adaboostBorderlineSMOTE,85.0,1.0,1.0,20.0,0.9666666666666666,0.9666666666666666,0.9818181818181818,0.19636363636363635,0.96,0.9539600717839003,0.9881944444444445
within,javawebsocket,adaboostSMOTE,85.0,1.0,1.0,20.0,0.9666666666666666,0.9666666666666666,0.9818181818181818,0.19636363636363635,0.96,0.9539600717839003,0.9881944444444445
within,javawebsocket,adaboostrandomover,85.0,1.0,1.0,20.0,0.9666666666666666,0.9666666666666666,0.9818181818181818,0.19636363636363635,0.96,0.9539600717839003,0.99375
