,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,747.0,1654.0,6.0,17.0,0.010173548773189706,0.7391304347826086,0.31518151815181517,0.6893564356435643,0.020070838252656435,0.010527306715146614,0.5463574959708817
1,885.0,1516.0,5.0,18.0,0.011734028683181226,0.782608695652174,0.3725247524752475,0.6328382838283828,0.023121387283236997,0.03041016624389221,0.6081071292758452
2,578.0,1823.0,1.0,21.0,0.0113882863340564,0.9545454545454546,0.247214197276104,0.7610400330169211,0.022508038585209004,0.04343522460909241,0.5981219946234524
3,826.0,1575.0,4.0,18.0,0.011299435028248588,0.8181818181818182,0.3483285183656624,0.6574494428394552,0.022291021671826627,0.03242090273651216,0.68856726364015
4,879.0,1522.0,2.0,20.0,0.01297016861219196,0.9090909090909091,0.37102765167148166,0.636401155592241,0.025575447570332484,0.05426344382912937,0.7154026731286207
5,909.0,1492.0,2.0,20.0,0.013227513227513227,0.9090909090909091,0.3834089971110194,0.6240198101527032,0.026075619295958277,0.05633610022675995,0.653704895687403
6,728.0,1672.0,3.0,20.0,0.01182033096926714,0.8695652173913043,0.3087082129591416,0.6983078827899298,0.02332361516034985,0.03652599236239492,0.5388134057971014
7,883.0,1517.0,3.0,20.0,0.013012361743656473,0.8695652173913043,0.37267849773008666,0.6343375980189847,0.02564102564102564,0.04781302595898046,0.6866304347826087
8,932.0,1468.0,2.0,21.0,0.014103425117528543,0.9130434782608695,0.3933140734626496,0.6145274453157243,0.027777777777777783,0.060042474989310195,0.7140670289855073
9,910.0,1490.0,2.0,21.0,0.013898080741230973,0.9130434782608695,0.38423442014032194,0.623607098638052,0.027379400260756193,0.05848374531677487,0.6819746376811594
10,8277.0,15729.0,30.0,196.0,0.012362717923006424,0.8677865612648221,0.349662083934353,0.657188518583596,0.02437641714991293,0.043025838298799315,0.6431746959572731
