,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,22.0,3.0,10.0,2.0,0.4,0.16666666666666666,0.6486486486486487,0.13513513513513514,0.23529411764705882,0.06390096504226937,0.7833333333333333
1,18.0,7.0,10.0,2.0,0.2222222222222222,0.16666666666666666,0.5405405405405406,0.24324324324324326,0.1904761904761905,-0.12365680446706234,0.6966666666666667
2,20.0,5.0,10.0,2.0,0.2857142857142857,0.16666666666666666,0.5945945945945946,0.1891891891891892,0.2105263157894737,-0.03984095364447979,0.75
3,20.0,5.0,11.0,1.0,0.16666666666666666,0.08333333333333333,0.5675675675675675,0.16216216216216217,0.1111111111111111,-0.14816681483355557,0.7
4,20.0,5.0,12.0,0.0,0.0,0.0,0.5405405405405406,0.13513513513513514,0.0,-0.27386127875258304,0.6266666666666667
5,21.0,4.0,11.0,1.0,0.2,0.08333333333333333,0.5945945945945946,0.13513513513513514,0.11764705882352941,-0.10498015685515684,0.73
6,20.0,5.0,6.0,6.0,0.5454545454545454,0.5,0.7027027027027027,0.2972972972972973,0.5217391304347826,0.3072549338995135,0.7333333333333333
7,19.0,5.0,9.0,4.0,0.4444444444444444,0.3076923076923077,0.6216216216216216,0.24324324324324326,0.3636363636363637,0.11055646056531918,0.7724358974358975
8,22.0,2.0,11.0,1.0,0.3333333333333333,0.08333333333333333,0.6388888888888888,0.08333333333333333,0.13333333333333333,0.0,0.34375
9,18.0,6.0,9.0,3.0,0.3333333333333333,0.25,0.5833333333333334,0.25,0.28571428571428575,0.0,0.670138888888889
10,200.0,47.0,99.0,22.0,0.2931168831168831,0.18076923076923077,0.6033033033033033,0.18738738738738742,0.2169477906966129,-0.020879364904573545,0.6806324786324787
